bout_id	event_id	event_file	date	red	blue
ufc-fight-night-244-001	ufc-fight-night-244	ufc-fight-night-244.json	2024-10-12	ブランドン・ロイバル	平良達郎
ufc-on-espn-71-001	ufc-on-espn-71	ufc-on-espn-71.json	2025-08-02	平良達郎	パク・ヒュンソン
ufc-on-espn-71-002	ufc-on-espn-71	ufc-on-espn-71.json	2025-08-02	中村倫也	ネイサン・フレッチャー
ufc-319-001	ufc-319	ufc-319.json	2025-08-16	ティム・エリオット	朝倉海
ufc-310-001	ufc-310	ufc-310.json	2024-12-07	アレシャンドレ・パントージャ	朝倉海
ufc-311-001	ufc-311	ufc-311.json	2025-01-18	ムイン・ガフロフ	中村倫也
ufc-313-001	ufc-313	ufc-313.json	2025-03-08	ジョシュア・ヴァン	鶴屋怜
ufc-fight-night-qatar-2025-001	ufc-fight-night-qatar-2025	ufc-fight-night-qatar-2025.json	2025-11-22	タギル・ウランベコフ	堀口恭司
ufc-fight-night-lv113-001	ufc-fight-night-lv113	ufc-fight-night-lv113.json	2026-02-07	アミル・アルバジ	堀口恭司
ufc-327-001	ufc-327	ufc-327.json	2026-04-12	ジョシュア・ヴァン	平良達郎
