bout_id	event_id	event_file	date	red	blue
rizin-shiwasu-2025-bout-07	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	秋元強真	新居すぐる
rizin-shiwasu-2025-bout-08	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	福田龍彌	安藤達也
rizin-shiwasu-2025-bout-09	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	クレベル・コイケ	ヴガール・ケラモフ
rizin-shiwasu-2025-bout-10	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	伊澤星花	RENA
rizin-shiwasu-2025-bout-11	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	ダニー・サバテロ	井上直樹
rizin-shiwasu-2025-bout-12	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	扇久保博正	元谷友貴
rizin-shiwasu-2025-bout-13	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	イルホム・ノジモフ	ホベルト・サトシ・ソウザ
rizin-shiwasu-2025-bout-14	rizin-shiwasu-2025	rizin-shiwasu-2025.json	2025-12-31	ラジャブアリ・シェイドゥラエフ	朝倉未来
rizin52-01	rizin-52	rizin-52.json	2026-03-07	NOEL	イ・ボミ
rizin52-02	rizin-52	rizin-52.json	2026-03-07	新井丈	イ・ジョンヒョン
rizin52-03	rizin-52	rizin-52.json	2026-03-07	征矢貴	トニー・ララミー
rizin52-04	rizin-52	rizin-52.json	2026-03-07	佐藤将光	ジョン・スウィーニー
rizin52-05	rizin-52	rizin-52.json	2026-03-07	キム・ギョンピョ	矢地祐介
rizin52-06	rizin-52	rizin-52.json	2026-03-07	所英男	鹿志村仁之介
rizin52-07	rizin-52	rizin-52.json	2026-03-07	伊藤裕樹	カルロス・モタ
rizin52-08	rizin-52	rizin-52.json	2026-03-07	大島沙緒里	ケイト・ロータス
rizin52-09	rizin-52	rizin-52.json	2026-03-07	ビクター・コレスニック	武田光司
rizin52-10	rizin-52	rizin-52.json	2026-03-07	高木凌	木村柊也
rizin52-11	rizin-52	rizin-52.json	2026-03-07	ルイス・グスタボ	桜庭大世
rizin52-12	rizin-52	rizin-52.json	2026-03-07	秋元強真	パッチー・ミックス
