bout_id	event_id	event_file	date	red	blue
rizin-otokomatsuri-2025-bout-01	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	平本丈	田丸辰
rizin-otokomatsuri-2025-bout-02	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	山本アーセン	冨澤大智
rizin-otokomatsuri-2025-bout-03	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	朝久泰央	ウザ強ヨシヤ
rizin-otokomatsuri-2025-bout-04	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	ジョン・ドッドソン	征矢貴
rizin-otokomatsuri-2025-bout-05	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	ヒロヤ	篠塚辰樹
rizin-otokomatsuri-2025-bout-06	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	ダニー・サバテロ	太田忍
rizin-otokomatsuri-2025-bout-07	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	中村大介	桜庭大世
rizin-otokomatsuri-2025-bout-08	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	神龍誠	伊藤裕樹
rizin-otokomatsuri-2025-bout-09	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	皇治	シナ・カリミアン
rizin-otokomatsuri-2025-bout-10	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	マレク・サモチュク	ダニエル・ジェームス
rizin-otokomatsuri-2025-bout-11	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	スダリオ剛	ジョゼ・アウグスト
rizin-otokomatsuri-2025-bout-12	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	上田幹雄	シビサイ頌真
rizin-otokomatsuri-2025-bout-13	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	萩原京平	西谷大成
rizin-otokomatsuri-2025-bout-14	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	秋元強真	高木凌
rizin-otokomatsuri-2025-bout-15	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	朝倉未来	鈴木千裕
rizin-otokomatsuri-2025-bout-16	rizin-otokomatsuri-2025	rizin-otokomatsuri-2025.json	2025-05-04	クレベル・コイケ	ラジャブアリ・シェイドゥラエフ
rizin51-01	rizin-51	rizin-51.json	2025-09-28	大和哲也	奥山貴大
rizin51-02	rizin-51	rizin-51.json	2025-09-28	金田一孝介	チャートゥ・バンビロール
rizin51-03	rizin-51	rizin-51.json	2025-09-28	冨澤大智	平本丈
rizin51-04	rizin-51	rizin-51.json	2025-09-28	鈴木博昭	ファン・イェーロウ
