bout_id	event_id	event_file	date	red	blue
rizin44-06	rizin-44	rizin-44.json	2023-09-24	中原由貴	白川陸斗
rizin44-07	rizin-44	rizin-44.json	2023-09-24	安保瑠輝也	宇佐美正パトリック
rizin44-08	rizin-44	rizin-44.json	2023-09-24	スパイク・カーライル	堀江圭功
rizin44-09	rizin-44	rizin-44.json	2023-09-24	牛久絢太郎	萩原京平
rizin44-10	rizin-44	rizin-44.json	2023-09-24	クレベル・コイケ	金原正徳
rizin-landmark-7-az-bout-01	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	ハサン・メジエフ	コンスタンチン・メルクロフ
rizin-landmark-7-az-bout-02	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	ショタ・ベトレミゼ	カンタン・ドミンゴス
rizin-landmark-7-az-bout-03	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	ヴラジスラフ・ルドニェフ	イリヤル・アスハノフ
rizin-landmark-7-az-bout-04	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	イルホム・ナシモフ	ジョレス・デア・ゴメス
rizin-landmark-7-az-bout-05	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	アナスタシア・スヴェトキフスカ	ファリダ・アブドゥエヴァ
rizin-landmark-7-az-bout-06	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	キョン・ピョ・キム	トゥラル・ラギモフ
rizin-landmark-7-az-bout-07	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	メフマン・マメドフ	フェリット・ゲクテペ
rizin-landmark-7-az-bout-08	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	アリ・アブドゥルハリコフ	ナリマン・アッバソフ
rizin-landmark-7-az-bout-09	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	トフィック・ムサエフ	武田光司
rizin-landmark-7-az-bout-10	rizin-landmark-7-azerbaijan	rizin-landmark-7-azerbaijan.json	2023-11-04	鈴木千裕	ヴガール・ケラモフ
rizin45-01	rizin-45	rizin-45.json	2023-12-31	YUSHI	平本丈
rizin45-02	rizin-45	rizin-45.json	2023-12-31	那須川龍心	シン・ジョンミン
rizin45-03	rizin-45	rizin-45.json	2023-12-31	篠塚辰樹	冨澤大智
rizin45-04	rizin-45	rizin-45.json	2023-12-31	弥益ドミネーター聡志	新居すぐる
rizin45-05	rizin-45	rizin-45.json	2023-12-31	安保瑠輝也	久保優太
